City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Yellowknife,CA,73.92,few clouds,62.456,-114.3525,The Explorer Hotel
3,Pakxan,LA,80.85,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
4,Nadapuram,IN,75.76,light rain,11.7,75.6667,Fabina Garden
5,Bethel,US,66.29,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
8,Mahebourg,MU,66.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,Bambous Virieux,MU,66.22,clear sky,-20.3428,57.7575,Casa Tia Villa
11,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Pemangkat,ID,79.7,clear sky,1.1667,108.9667,Ramah Kost KITA
19,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Rikitea,PF,72.07,overcast clouds,-23.1203,-134.9692,People ThankYou
21,Gat,IL,70.48,clear sky,31.61,34.7642,OlusHome
23,Ishigaki,JP,84.11,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
24,Buala,SB,84.04,light rain,-8.145,159.5921,Maringe Lagoon Lodge
26,Arraial Do Cabo,BR,68.85,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
27,Jiazi,CN,82.71,overcast clouds,22.8779,116.067,Hotel Jin Hao
28,Cairns,AU,74.1,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
29,Bulaevo,KZ,65.89,broken clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
30,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Xichang,CN,69.55,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
37,Hithadhoo,MV,83.17,broken clouds,-0.6,73.0833,Scoop Guest House
39,Bouna,CI,71.49,broken clouds,9.2667,-3.0,Hôtel lababa
41,Doha,QA,85.98,clear sky,25.2867,51.5333,Doha Marriott Hotel
44,Ha Giang,VN,85.5,overcast clouds,22.8333,104.9833,Truong Xuan Resort
45,Atuona,PF,77.63,scattered clouds,-9.8,-139.0333,Villa Enata
46,Nouadhibou,MR,67.91,broken clouds,20.931,-17.0347,El Medina
49,Kulhudhuffushi,MV,82.45,overcast clouds,6.6221,73.07,Haajy Guest House 1
52,Isangel,VU,75.25,overcast clouds,-19.55,169.2667,Tanna Lodge
