City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanortalik,GL,60.1432,-45.2371,39.51,98,100,6.96,overcast clouds
1,Yellowknife,CA,62.456,-114.3525,73.92,20,20,11.5,few clouds
2,East London,ZA,-33.0153,27.9116,61.95,61,100,6.33,overcast clouds
3,Pakxan,LA,18.3778,103.6601,80.85,82,84,2.55,broken clouds
4,Nadapuram,IN,11.7,75.6667,75.76,90,100,1.72,light rain
5,Bethel,US,41.3712,-73.414,66.29,38,40,4.61,scattered clouds
6,Beringovskiy,RU,63.05,179.3167,47.1,83,100,12.77,light rain
7,Sitka,US,57.0531,-135.33,53.49,82,100,12.66,overcast clouds
8,Mahebourg,MU,-20.4081,57.7,66.25,72,10,10.13,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,35.71,80,0,6.91,clear sky
10,Bambous Virieux,MU,-20.3428,57.7575,66.22,73,8,12.3,clear sky
11,Kapaa,US,22.0752,-159.319,84.18,79,75,13.8,broken clouds
12,Lata,PT,40.1629,-8.3327,61.81,89,95,4.16,overcast clouds
13,Pemangkat,ID,1.1667,108.9667,79.7,82,7,4.5,clear sky
14,Hualmay,PE,-11.0964,-77.6139,62.55,81,5,12.46,clear sky
15,Cape Town,ZA,-33.9258,18.4232,59.38,73,5,14.0,clear sky
16,Tuktoyaktuk,CA,69.4541,-133.0374,35.1,88,39,13.09,scattered clouds
17,Fortuna,US,40.5982,-124.1573,62.92,71,100,7.0,overcast clouds
18,Ribeira Grande,PT,38.5167,-28.7,64.06,74,46,24.2,scattered clouds
19,Vaini,TO,-21.2,-175.2,82.56,83,40,14.97,scattered clouds
20,Rikitea,PF,-23.1203,-134.9692,72.07,66,91,22.82,overcast clouds
21,Gat,IL,31.61,34.7642,70.48,100,0,1.52,clear sky
22,Cherskiy,RU,68.75,161.3,63.55,40,100,15.5,overcast clouds
23,Ishigaki,JP,24.3448,124.1572,84.11,85,100,16.71,overcast clouds
24,Buala,SB,-8.145,159.5921,84.04,70,49,5.28,light rain
25,Mataura,NZ,-46.1927,168.8643,45.48,83,63,1.74,broken clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,68.85,72,29,9.64,scattered clouds
27,Jiazi,CN,22.8779,116.067,82.71,84,100,13.96,overcast clouds
28,Cairns,AU,-16.9167,145.7667,74.1,73,100,10.36,overcast clouds
29,Bulaevo,KZ,54.9056,70.4439,65.89,79,54,2.04,broken clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,97,1.99,overcast clouds
31,Dickinson,US,29.4608,-95.0513,95.13,54,20,11.5,few clouds
32,Kodinsk,RU,58.6881,99.1844,63.93,78,100,4.14,overcast clouds
33,Ostrovnoy,RU,68.0531,39.5131,39.72,96,100,11.25,overcast clouds
34,Maxixe,MZ,-23.8597,35.3472,64.89,82,3,2.73,clear sky
35,Nikolskoye,RU,59.7035,30.7861,54.81,77,26,7.36,scattered clouds
36,Xichang,CN,27.8964,102.2634,69.55,92,100,1.5,overcast clouds
37,Hithadhoo,MV,-0.6,73.0833,83.17,70,72,9.51,broken clouds
38,Port Alfred,ZA,-33.5906,26.891,57.38,75,86,6.35,overcast clouds
39,Bouna,CI,9.2667,-3.0,71.49,84,78,4.56,broken clouds
40,Ushuaia,AR,-54.8,-68.3,28.54,98,100,3.8,light snow
41,Doha,QA,25.2867,51.5333,85.98,70,0,1.14,clear sky
42,Tiksi,RU,71.6872,128.8694,34.84,75,100,17.56,overcast clouds
43,Tuatapere,NZ,-46.1333,167.6833,49.6,70,7,4.94,clear sky
44,Ha Giang,VN,22.8333,104.9833,85.5,76,100,0.34,overcast clouds
45,Atuona,PF,-9.8,-139.0333,77.63,77,31,16.69,scattered clouds
46,Nouadhibou,MR,20.931,-17.0347,67.91,90,63,3.29,broken clouds
47,Kaitangata,NZ,-46.2817,169.8464,46.51,86,100,2.04,overcast clouds
48,Khatanga,RU,71.9667,102.5,51.4,45,100,7.94,overcast clouds
49,Kulhudhuffushi,MV,6.6221,73.07,82.45,74,99,12.71,overcast clouds
50,Cidreira,BR,-30.1811,-50.2056,53.31,82,0,4.09,clear sky
