City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Codrington,-38.2667,141.9667,48.33,92,4,4.59,AU,2022-06-17 16:04:23
1,Hermanus,-34.4187,19.2345,61.02,57,0,9.08,ZA,2022-06-17 16:04:23
2,Chokurdakh,70.6333,147.9167,36.59,74,98,10.69,RU,2022-06-17 16:04:23
3,Castro,-24.7911,-50.0119,69.64,62,46,13.67,BR,2022-06-17 16:03:18
4,Dikson,73.5069,80.5464,31.23,95,39,13.02,RU,2022-06-17 16:04:24
5,Kutum,14.2,24.6667,92.68,14,30,10.54,SD,2022-06-17 16:04:24
6,Luderitz,-26.6481,15.1594,58.95,77,0,8.63,NA,2022-06-17 16:04:24
7,Zhizdra,53.746,34.7395,63.66,71,86,6.51,RU,2022-06-17 16:04:25
8,Albany,42.6001,-73.9662,82.78,49,3,1.99,US,2022-06-17 16:00:24
9,Nikolskoye,59.7035,30.7861,57.09,77,100,7.2,RU,2022-06-17 16:04:25
10,Mitsamiouli,-11.3847,43.2844,78.3,70,44,12.12,KM,2022-06-17 16:04:25
11,Butaritari,3.0707,172.7902,82.06,77,12,15.43,KI,2022-06-17 16:04:26
12,Eyl,7.9803,49.8164,78.71,81,99,23.31,SO,2022-06-17 16:04:26
13,Gunjur,13.2019,-16.7339,79.34,69,86,12.35,GM,2022-06-17 16:04:26
14,Rikitea,-23.1203,-134.9692,72.16,67,46,0.2,PF,2022-06-17 16:04:27
15,Khatanga,71.9667,102.5,58.44,67,45,10.58,RU,2022-06-17 16:04:27
16,Punta Arenas,-53.15,-70.9167,39.31,65,40,17.27,CL,2022-06-17 16:04:27
17,Los Banos,14.1667,121.1833,84.79,87,39,4.79,PH,2022-06-17 16:01:00
18,Saldanha,-33.0117,17.9442,57.97,89,28,19.6,ZA,2022-06-17 16:04:28
19,Victoria,22.2855,114.1577,85.17,84,98,11.01,HK,2022-06-17 16:00:25
20,New Norfolk,-42.7826,147.0587,48.92,90,96,1.39,AU,2022-06-17 16:04:28
21,Ulaanbaatar,47.9077,106.8832,63.3,77,63,6.89,MN,2022-06-17 16:02:41
22,Sur,22.5667,59.5289,90.12,62,14,1.34,OM,2022-06-17 16:04:28
23,Sambava,-14.2667,50.1667,72.21,89,2,4.5,MG,2022-06-17 16:04:29
24,Batagay-Alyta,67.8006,130.4114,41.2,55,30,3.09,RU,2022-06-17 16:04:29
25,Hare Bay,48.8499,-54.0148,81.19,35,1,7.45,CA,2022-06-17 16:04:29
26,Mandalgovi,45.7625,106.2708,75.22,35,74,4.45,MN,2022-06-17 16:04:30
27,Longyearbyen,78.2186,15.6401,40.84,87,75,10.36,SJ,2022-06-17 16:04:30
28,Bambous Virieux,-20.3428,57.7575,70.21,71,1,8.97,MU,2022-06-17 16:04:30
29,Ushuaia,-54.8,-68.3,32.11,92,99,13.0,AR,2022-06-17 16:00:06
30,Tiksi,71.6872,128.8694,31.33,91,98,5.08,RU,2022-06-17 16:04:31
31,Port Hardy,50.6996,-127.4199,53.64,81,79,6.71,CA,2022-06-17 16:00:23
32,Vaini,-21.2,-175.2,75.36,88,75,10.36,TO,2022-06-17 16:04:31
33,Jacqueville,5.2052,-4.4146,78.21,81,100,16.71,CI,2022-06-17 16:04:32
34,Teshie,5.5836,-0.1072,78.64,77,100,11.63,GH,2022-06-17 16:04:32
35,Sri Aman,1.2376,111.4621,72.81,99,82,1.36,MY,2022-06-17 16:04:33
36,Qinhuangdao,39.9317,119.5883,68.94,87,74,6.89,CN,2022-06-17 16:04:33
37,Georgetown,5.4112,100.3354,80.53,90,20,4.61,MY,2022-06-17 16:04:33
38,Lososina,48.9975,140.3106,50.59,97,97,5.32,RU,2022-06-17 16:04:33
39,Hobart,-42.8794,147.3294,49.26,95,100,0.0,AU,2022-06-17 16:04:34
40,Rio Gallegos,-51.6226,-69.2181,42.85,61,20,28.77,AR,2022-06-17 16:04:34
41,Tilichiki,60.4667,166.1,43.88,95,100,3.74,RU,2022-06-17 16:04:34
42,Kodiak,57.79,-152.4072,47.71,87,100,6.91,US,2022-06-17 16:04:35
43,Rawson,-43.3002,-65.1023,45.18,44,1,16.22,AR,2022-06-17 16:04:35
44,Bakchar,57.0186,82.0711,54.59,99,100,1.95,RU,2022-06-17 16:04:36
45,Bluff,-46.6,168.3333,36.81,74,49,15.32,NZ,2022-06-17 16:04:36
46,Avarua,-21.2078,-159.775,75.25,78,100,4.61,CK,2022-06-17 16:04:36
47,Mahebourg,-20.4081,57.7,70.25,70,14,9.35,MU,2022-06-17 16:04:36
48,Hithadhoo,-0.6,73.0833,82.56,74,100,9.69,MV,2022-06-17 16:04:37
49,Ribeira Grande,38.5167,-28.7,70.2,83,75,5.75,PT,2022-06-17 16:04:37
50,Carnarvon,-24.8667,113.6333,64.47,94,100,6.91,AU,2022-06-17 16:04:37
51,Moree,-29.4667,149.85,49.46,72,97,5.53,AU,2022-06-17 16:04:38
52,Aklavik,68.2191,-135.0107,65.52,49,45,11.14,CA,2022-06-17 16:04:38
53,Sandwick,60.0,-1.25,55.22,76,20,32.21,GB,2022-06-17 16:04:38
54,Souillac,-20.5167,57.5167,72.64,72,52,7.58,MU,2022-06-17 16:04:39
55,Faanui,-16.4833,-151.75,80.06,73,11,19.39,PF,2022-06-17 16:04:39
56,Cape Town,-33.9258,18.4232,62.38,73,46,11.01,ZA,2022-06-17 16:00:33
57,Cabo San Lucas,22.8909,-109.9124,90.7,51,20,4.61,MX,2022-06-17 16:03:15
58,Bonavista,48.6499,-53.1147,52.41,77,3,17.34,CA,2022-06-17 16:04:39
59,Montoro,38.0241,-4.3834,100.98,28,86,16.24,ES,2022-06-17 16:04:40
60,Kerema,-7.9631,145.7785,77.92,87,78,3.36,PG,2022-06-17 16:04:41
61,Inta,66.0317,60.1659,61.34,88,100,5.84,RU,2022-06-17 16:04:41
62,Bredasdorp,-34.5322,20.0403,56.19,55,0,2.86,ZA,2022-06-17 16:04:42
63,Bardiyah,31.7561,25.0865,78.57,60,0,13.53,LY,2022-06-17 16:04:42
64,Clarence Town,-32.5833,151.7833,57.85,85,72,4.85,AU,2022-06-17 16:04:42
65,Mana,5.6592,-53.7767,83.97,67,40,4.79,GF,2022-06-17 16:04:43
66,Zhigansk,66.7697,123.3711,50.4,47,15,8.77,RU,2022-06-17 16:04:43
67,Upernavik,72.7868,-56.1549,35.65,86,54,11.01,GL,2022-06-17 16:04:44
68,Amahai,-3.3333,128.9167,77.52,87,99,2.66,ID,2022-06-17 16:04:44
69,Saint George,37.1041,-113.5841,93.25,12,0,12.66,US,2022-06-17 16:00:21
70,Puerto Ayora,-0.7393,-90.3518,78.76,91,98,5.99,EC,2022-06-17 16:04:44
71,Artyom,40.4723,50.333,75.34,77,0,14.32,AZ,2022-06-17 16:04:45
72,Churachandpur,24.3333,93.6667,65.73,99,100,1.54,IN,2022-06-17 16:03:14
73,Quatre Cocos,-20.2078,57.7625,70.09,71,2,7.67,MU,2022-06-17 16:04:45
74,Acarau,-2.8856,-40.12,84.02,62,84,9.37,BR,2022-06-17 16:04:46
75,Touros,-5.1989,-35.4608,83.1,60,66,11.88,BR,2022-06-17 16:04:46
76,Craig,40.5153,-107.5464,82.35,26,0,12.66,US,2022-06-17 16:04:46
77,Naco,31.3347,-109.9483,86.09,30,97,2.46,MX,2022-06-17 16:04:47
78,Torbay,47.6666,-52.7314,63.28,77,3,4.0,CA,2022-06-17 16:00:26
79,Jamestown,42.097,-79.2353,75.06,54,0,10.0,US,2022-06-17 16:01:05
80,Basco,20.4487,121.9702,84.69,76,81,5.82,PH,2022-06-17 16:04:47
81,Tasiilaq,65.6145,-37.6368,38.68,84,65,5.79,GL,2022-06-17 16:04:47
82,Labuhan,-6.8844,112.2051,79.59,81,99,3.96,ID,2022-06-17 16:04:48
83,San Quintin,30.4833,-115.95,67.08,71,2,10.02,MX,2022-06-17 16:04:48
84,Chuy,-33.6971,-53.4616,60.15,69,99,11.41,UY,2022-06-17 16:04:48
85,Dunedin,-45.8742,170.5036,36.81,85,0,1.99,NZ,2022-06-17 16:01:40
86,Bengkulu,-3.8004,102.2655,75.97,92,100,4.7,ID,2022-06-17 16:04:49
87,Butterworth,5.3991,100.3638,80.64,90,20,4.61,MY,2022-06-17 16:04:49
88,Mataura,-46.1927,168.8643,36.48,98,15,2.37,NZ,2022-06-17 16:04:49
89,Ponta Do Sol,32.6667,-17.1,76.71,69,41,1.99,PT,2022-06-17 16:04:50
90,Ngunguru,-35.6167,174.5,58.12,87,89,8.14,NZ,2022-06-17 16:04:50
91,Samarai,-10.6167,150.6667,79.86,82,14,8.23,PG,2022-06-17 16:04:50
92,Mar Del Plata,-38.0023,-57.5575,47.08,83,75,23.02,AR,2022-06-17 16:00:31
93,Kapaa,22.0752,-159.319,71.92,97,75,10.36,US,2022-06-17 16:04:51
94,Vao,-22.6667,167.4833,74.86,83,100,16.62,NC,2022-06-17 16:04:51
95,Tura,25.5198,90.2201,72.46,99,100,8.05,IN,2022-06-17 16:04:51
96,Cidreira,-30.1811,-50.2056,63.63,96,100,5.99,BR,2022-06-17 16:04:52
97,Port Alfred,-33.5906,26.891,64.29,46,48,11.43,ZA,2022-06-17 16:04:52
98,Saint-Philippe,-21.3585,55.7679,72.99,81,55,5.01,RE,2022-06-17 16:04:52
99,Shingu,33.7333,135.9833,71.74,96,100,5.64,JP,2022-06-17 16:04:53
100,Yellowknife,62.456,-114.3525,60.57,44,80,4.0,CA,2022-06-17 16:01:27
101,Hamilton,39.1834,-84.5333,86.65,70,20,17.27,US,2022-06-17 16:03:51
102,Makokou,0.5738,12.8642,69.31,98,100,2.33,GA,2022-06-17 16:04:53
103,Banda Aceh,5.5577,95.3222,80.38,82,60,6.46,ID,2022-06-17 16:04:54
104,Cherskiy,68.75,161.3,39.43,67,93,7.14,RU,2022-06-17 16:04:54
105,Stolin,51.8912,26.846,62.06,86,100,6.6,BY,2022-06-17 16:04:54
106,Tete,-16.1564,33.5867,78.89,50,20,6.91,MZ,2022-06-17 16:04:54
107,Dubbo,-32.25,148.6167,37.53,100,40,5.75,AU,2022-06-17 16:04:55
108,Lavrentiya,65.5833,-171.0,44.37,66,20,2.77,RU,2022-06-17 16:04:55
109,Denton,33.2001,-97.1336,96.03,49,0,5.75,US,2022-06-17 16:04:55
110,Biak,-0.9131,122.8766,75.96,85,36,6.13,ID,2022-06-17 16:04:56
111,Bay Roberts,47.5999,-53.2648,64.65,69,7,4.0,CA,2022-06-17 16:04:56
112,Cockburn Town,21.4612,-71.1419,81.91,75,100,12.62,TC,2022-06-17 16:00:18
113,Atar,20.5169,-13.0499,110.48,11,24,20.04,MR,2022-06-17 16:04:56
